Release Date,Number of Reviews,Plays,Playing,Wishlist
20070320,426,2500,119,583
20180927,253,1500,115,481
20080710,815,5700,158,599
19910826,445,2100,39,193
20211112,1100,4100,1000,2600
20071030,200,3800,20,156
20091101,825,5500,492,995
20150218,663,6600,247,354
20220316,891,3400,489,2600
20220624,360,1100,305,576
19930711,174,1600,5,50
20091117,1300,16000,140,521
20000210,503,1000,59,889
20080410,1000,19000,88,168
20170303,4300,30000,2500,2600
20210910,650,3100,571,1900
20170922,783,14000,131,460
20050704,311,1000,32,210
20090915,324,1700,108,493
20220208,633,2700,283,2300
20051231,215,891,40,167
20161021,513,7200,108,150
20130713,388,2700,39,385
20101109,920,14000,44,318
20130819,386,7200,64,176
19880801,211,1500,2,55
20181005,336,5300,34,185
19971218,67,2400,6,9
20151014,363,3700,60,219
19890514,197,2500,18,21
20170424,1400,8600,61,1300
19920427,691,5300,22,178
20120925,62,1600,2,12
20001120,443,3000,29,485
20100511,318,4100,44,188
20041026,1500,19000,270,742
19930602,106,847,0,23
20160121,1200,9700,439,1000
20200814,189,1600,114,354
20160225,835,12000,95,842
20071113,224,3000,26,241
19990930,455,4800,18,165
19930923,629,4900,43,223
20120623,776,7600,130,449
20140901,124,14000,122,35
20011214,533,3900,51,317
20190418,1100,9300,189,1500
20221110,132,305,17,116
20130312,318,2700,27,351
20220901,395,1400,131,1100
20050921,300,3700,25,280
20141028,445,3600,92,459
20091013,188,2600,67,123
20220830,461,1200,95,564
20150129,1400,15000,209,817
20110418,2900,29000,471,1200
20221006,68,370,59,147
20170424,1400,8600,61,1300
20221111,206,279,137,620
20220316,891,3400,489,2600
20200717,1400,8500,688,3100
20061119,137,2700,9,63
20061119,775,18000,39,93
19950216,233,1200,12,175
20031029,274,2800,23,136
20190919,725,3100,37,789
20200529,232,1900,55,97
20120301,195,1900,22,171
20200327,118,512,31,331
20221004,491,6600,1100,171
20200723,432,2800,83,601
20150915,3500,28000,679,1800
20191115,837,9700,301,500
20071009,955,16000,505,158
19981203,465,1000,33,316
20171201,1400,7400,453,1500
20201225,1600,7200,1100,3800
20170428,1500,19000,705,635
20161220,196,1500,41,289
20050915,1300,12000,418,1000
20131121,1100,9600,93,432
20111101,671,4700,66,925
20011119,103,1700,6,61
20201126,49,67,26,193
20210621,118,3000,125,5
20180123,712,7200,335,944
20190528,1800,7700,661,3100
20080914,180,2000,10,29
20210914,897,4200,389,1900
20171117,534,7800,128,140
20210621,275,1200,131,1000
20230127,501,1300,248,1900
20100523,1800,13000,123,1300
20220208,633,2700,283,2300
20200717,1400,8500,688,3100
20170929,1900,18000,1200,2600
20160121,1200,9700,439,1000
20220830,461,1200,95,564
20140206,233,3100,51,198
20091112,859,13000,85,241
20141118,558,8500,90,442
20200501,1100,6000,1200,2700
20181031,591,11000,107,729
19900901,501,2400,36,217
20171027,2900,25000,710,2000
20111118,2300,33000,1800,230
20150212,797,6700,191,813
20100126,1300,9600,107,645
20100126,608,3200,68,855
20051018,1500,10000,134,1700
20100326,269,982,127,480
20100429,498,4000,68,566
20020719,1700,14000,403,1000
20221202,79,239,5,75
20161118,195,2800,33,66
20201225,1600,7200,1100,3800
20210422,1500,6700,880,3700
20180807,414,4900,227,184
20040626,770,4000,155,771
20060124,852,6500,176,481
20141104,492,8200,334,636
20061119,899,10000,228,1300
20100422,743,2900,67,854
20140130,169,2500,12,180
20200319,1900,12000,738,2400
20220722,555,1100,235,1900
20160818,555,3300,293,657
20191112,487,3800,76,917
20221020,253,356,145,645
20070916,187,7300,426,90
20180420,2900,21000,1100,2600
20100908,525,4700,86,407
20061119,775,18000,39,93
20031127,398,1000,38,513
