Release Date,Number of Reviews,Plays,Playing,Rating,Wishlist
20180313,482,751,68,4.4,738
20100223,431,1400,48,3.9,628
20030321,523,3500,43,3.9,227
20160609,402,2400,96,3.7,506
20031226,249,1700,32,3.3,432
20180125,2800,20000,1200,4.2,2000
20220623,455,1500,139,3.9,811
20031014,553,4100,37,4.1,464
20120615,1900,13000,1500,4.2,2200
19910201,433,4300,11,3.5,99
20140920,1100,6000,154,4.1,2000
20071009,517,6900,43,4.1,301
20170303,4300,30000,2500,4.4,2600
20150901,276,3400,92,2.7,355
20100302,288,4200,23,3.6,119
20200127,319,772,90,4.1,402
20030923,133,797,12,3.1,212
20080306,178,408,27,4.2,209
19970131,2900,15000,1100,4.2,1500
20030523,1100,4900,156,4.2,1400
20110922,2100,14000,447,4.3,1400
20220816,260,431,57,3.7,492
20170817,262,836,97,3.9,406
20191209,445,3800,186,4.3,574
20041028,150,1900,6,3.5,91
20071004,435,6600,32,3.9,135
20190830,568,3600,210,3.6,1400
20050217,909,6100,116,4.2,648
20080710,815,5700,158,4.0,599
20130926,161,1700,21,3.2,114
20051006,96,1700,2,2.9,29
20220901,395,1400,131,4.4,1100
20200310,1200,6000,263,4.3,2200
20091030,229,496,96,4.3,592
19990223,1300,6800,272,4.1,1600
20150706,917,17000,564,3.4,113
20230126,363,1200,325,4.5,1300
20050217,909,6100,116,4.2,648
20160210,442,1800,109,3.6,634
20010502,466,632,32,4.3,1100
20201225,1600,7200,1100,4.2,3800
20141011,260,2000,66,4.2,159
20021117,1300,7900,146,4.0,799
20130827,643,5900,1100,3.7,363
20211115,972,6400,632,3.3,959
20150413,430,7100,43,3.3,138
20141118,102,1400,6,2.9,27
20230127,501,1300,248,4.3,1900
20171026,788,7200,302,3.4,681
20220722,555,1100,235,4.1,1900
20100209,687,9100,103,3.6,691
20041207,239,1400,17,3.3,140
20150519,2000,17000,1200,4.3,1600
20181026,2900,19000,1700,4.4,2900
20190322,2300,14000,919,4.4,3400
20100126,1300,9600,107,4.3,645
19960920,16,16,0,3.7,15
